コード,名 称,特 色,総資産
3105,日清紡ホールディングス(株),綿紡績名門。ブレーキ摩擦材はＭ＆Ａで世界トップ。半導体や防災無線も。不動産が安定収益源,157117000000.0
3856,Ａｂａｌａｎｃｅ(株),ＩＴ創業後、建機商社ＷＷＢと株式交換。主力は太陽光発電。傘下にベトナム太陽光パネル会社,17783000000.0
4062,イビデン(株),インテル向けＩＣパッケージが主軸。スマホ用プリント配線板も。自動車用黒煙除去装置も大手,634446000000.0
4902,コニカミノルタ(株),複合機中堅。関連サービスも展開。液晶ＴＡＣフィルム世界シェア３割。Ｘ線撮影装置（ＤＲ）も,207314000000.0
6448,ブラザー工業(株),プリンタなどデジタル複合機が主柱。中国等で生産し欧米中心に販売。ミシン首位級。産機注力,592101000000.0
6479,ミネベアミツミ(株),極小ベアリングで世界シェア６割。モーターやアナログ半導体も。１７年ミツミ電機と経営統合,915010000000.0
6501,(株)日立製作所,総合電機・重電首位で事業広範囲。総合路線見直し、インフラ系重視の戦略に。海外事業を拡大,6366000000000.0
6502,(株)東芝,総合電機大手。不正会計や米国原発事業の巨額損失で経営危機に。２３年度下期に会社２分割計画,2450000000000.0
6503,三菱電機(株),総合電機大手。ＦＡ、自動車機器や昇降機が収益柱。パワー半導体や空調「霧ヶ峰」など家電も,2881000000000.0
6504,富士電機(株),重電大手。パワエレ機器や自販機、パワー半導体に強み。発電設備は海外中心、収益は下期偏重,821330000000.0
6505,東洋電機製造(株),電車用駆動装置・パンタグラフの製造大手。永久磁石モーターに強み。自動車試験装置を強化,8305999999.999999
6506,(株)安川電機,独自制御技術でサーボモーターとインバーター世界首位。産業用ロボットも累積台数世界有数,1098000000000.0001
6507,シンフォニアテクノロジー(株),半導体搬送や航空、制御機器を展開。太陽パネル等設備工事も。利益期末偏重。神鋼系から独立,37885000000.0
6508,(株)明電舎,１８９７年発祥、重電５位。発電・変電・制御装置。水処理関連設備に強み。ＥＶ向けモーターも,91648000000.0
6513,(株)オリジン,産業用電源機器製造で発祥し、溶接機・機能性塗料・精密機構部品に多角化。海外売上約４割,7946000000.0
6516,山洋電気(株),ＮＴＴ向け電源が発祥。工作機械など設備向けサーボモーターや、通信機器用冷却ファンが柱,63904000000.0
6517,デンヨー(株),可搬形エンジン発電機・溶接機でトップ。震災機に非常用電源の用途拡大。米国、アジアで生産,33683999999.999996
6518,三相電機(株),各種モーター、ポンプとモーター応用製品、部品の製造。技術提案型に定評。中国でも生産、販売,4602000000.0
6521,(株)オキサイド,単結晶、レーザーなど光製品のニッチ企業。半導体検査装置、がん診断ＰＥＴ装置向けが主力,26427000000.0
6522,(株)アスタリスク,スマホに装着のバーコード・ＲＦＩＤリーダー主力。小売、自販機、物流に展開、業務効率化支援,12755000000.0
6523,ＰＨＣホールディングス(株),糖尿病製品や臨床検査、医療システム強い。前身はパナソニックヘルスケア。１４年ファンド傘下,181030000000.0
6524,湖北工業(株),自動車用等アルミ電解コンデンサー用リード端子と海底ケーブル用光通信部品・デバイス製販,59338000000.0
6588,東芝テック(株),ＰＯＳなど流通端末で国内シェア５割、１２年ＩＢＭ事業譲受で世界首位に。海外主体に複合機も,214903000000.0
6590,芝浦メカトロニクス(株),半導体やＦＰＤ等の製造装置メーカー。枚葉式半導体ウエハ洗浄装置で世界首位。後工程も,45712000000.0
6592,マブチモーター(株),車載用軸に小型モーター世界シェア５割以上。中国、ベトナムなど全量海外生産。音響縮小傾向,222370000000.0
