open,high,low,close,volume,code,datetime_JST
830.0,837.0,815.0,816.0,1822400,3105,2021-11-29 09:00:00
831.0,836.0,819.0,819.0,1984800,3105,2021-11-30 09:00:00
819.0,840.0,818.0,837.0,1184900,3105,2021-12-01 09:00:00
827.0,843.0,826.0,836.0,910600,3105,2021-12-02 09:00:00
834.0,848.0,832.0,847.0,942800,3105,2021-12-03 09:00:00
849.0,852.0,841.0,845.0,661200,3105,2021-12-06 09:00:00
860.0,868.0,850.0,867.0,1024500,3105,2021-12-07 09:00:00
882.0,883.0,866.0,877.0,1374100,3105,2021-12-08 09:00:00
868.0,877.0,861.0,861.0,1356800,3105,2021-12-09 09:00:00
864.0,877.0,862.0,876.0,1025400,3105,2021-12-10 09:00:00
886.0,888.0,875.0,880.0,732500,3105,2021-12-13 09:00:00
873.0,879.0,870.0,877.0,946600,3105,2021-12-14 09:00:00
866.0,881.0,864.0,877.0,888700,3105,2021-12-15 09:00:00
892.0,895.0,888.0,894.0,1140400,3105,2021-12-16 09:00:00
899.0,905.0,887.0,889.0,1261500,3105,2021-12-17 09:00:00
879.0,882.0,865.0,865.0,1368100,3105,2021-12-20 09:00:00
870.0,881.0,868.0,877.0,868900,3105,2021-12-21 09:00:00
880.0,880.0,870.0,872.0,717500,3105,2021-12-22 09:00:00
878.0,895.0,876.0,892.0,681800,3105,2021-12-23 09:00:00
897.0,906.0,894.0,901.0,1070100,3105,2021-12-24 09:00:00
900.0,902.0,892.0,894.0,997400,3105,2021-12-27 09:00:00
901.0,903.0,894.0,903.0,1533700,3105,2021-12-28 09:00:00
879.0,892.0,878.0,884.0,1194700,3105,2021-12-29 09:00:00
873.0,880.0,871.0,875.0,937400,3105,2021-12-30 09:00:00
887.0,897.0,883.0,894.0,957800,3105,2022-01-04 09:00:00
901.0,909.0,893.0,909.0,1093400,3105,2022-01-05 09:00:00
909.0,909.0,896.0,900.0,711700,3105,2022-01-06 09:00:00
911.0,918.0,908.0,916.0,1262400,3105,2022-01-07 09:00:00
921.0,927.0,918.0,926.0,1049900,3105,2022-01-11 09:00:00
935.0,937.0,928.0,930.0,742300,3105,2022-01-12 09:00:00
934.0,934.0,927.0,930.0,577200,3105,2022-01-13 09:00:00
930.0,934.0,922.0,928.0,702900,3105,2022-01-14 09:00:00
930.0,948.0,930.0,943.0,865800,3105,2022-01-17 09:00:00
940.0,952.0,938.0,942.0,1547000,3105,2022-01-18 09:00:00
933.0,945.0,931.0,931.0,1458300,3105,2022-01-19 09:00:00
916.0,941.0,914.0,935.0,1187900,3105,2022-01-20 09:00:00
920.0,945.0,914.0,941.0,1151700,3105,2022-01-21 09:00:00
932.0,948.0,932.0,941.0,1001300,3105,2022-01-24 09:00:00
932.0,936.0,916.0,922.0,900300,3105,2022-01-25 09:00:00
932.0,944.0,930.0,932.0,900000,3105,2022-01-26 09:00:00
935.0,947.0,922.0,925.0,1013800,3105,2022-01-27 09:00:00
927.0,949.0,927.0,942.0,832400,3105,2022-01-28 09:00:00
936.0,954.0,936.0,950.0,1231300,3105,2022-01-31 09:00:00
957.0,988.0,954.0,973.0,1838700,3105,2022-02-01 09:00:00
968.0,995.0,966.0,991.0,1092100,3105,2022-02-02 09:00:00
989.0,1004.0,984.0,1003.0,1233100,3105,2022-02-03 09:00:00
995.0,1010.0,990.0,1001.0,1342100,3105,2022-02-04 09:00:00
987.0,999.0,981.0,989.0,1756700,3105,2022-02-07 09:00:00
1000.0,1007.0,991.0,997.0,1039100,3105,2022-02-08 09:00:00
995.0,1019.0,957.0,990.0,2487900,3105,2022-02-09 09:00:00
1030.0,1065.0,1011.0,1057.0,2927000,3105,2022-02-10 09:00:00
1037.0,1053.0,1016.0,1025.0,1460600,3105,2022-02-14 09:00:00
1023.0,1048.0,1017.0,1023.0,818500,3105,2022-02-15 09:00:00
1029.0,1044.0,1020.0,1044.0,985600,3105,2022-02-16 09:00:00
1044.0,1058.0,1026.0,1038.0,1435000,3105,2022-02-17 09:00:00
1030.0,1048.0,1026.0,1040.0,975100,3105,2022-02-18 09:00:00
1029.0,1048.0,1022.0,1041.0,639500,3105,2022-02-21 09:00:00
1024.0,1042.0,1021.0,1029.0,646000,3105,2022-02-22 09:00:00
1001.0,1020.0,996.0,1010.0,1130600,3105,2022-02-24 09:00:00
1011.0,1018.0,998.0,1007.0,702200,3105,2022-02-25 09:00:00
1007.0,1018.0,1003.0,1012.0,649200,3105,2022-02-28 09:00:00
1038.0,1041.0,1021.0,1024.0,1012500,3105,2022-03-01 09:00:00
1005.0,1026.0,1004.0,1010.0,794000,3105,2022-03-02 09:00:00
1026.0,1039.0,1022.0,1026.0,926000,3105,2022-03-03 09:00:00
1012.0,1018.0,996.0,999.0,897900,3105,2022-03-04 09:00:00
977.0,1002.0,976.0,988.0,1109800,3105,2022-03-07 09:00:00
973.0,994.0,963.0,968.0,1341100,3105,2022-03-08 09:00:00
971.0,991.0,967.0,979.0,1001700,3105,2022-03-09 09:00:00
989.0,1024.0,986.0,1023.0,920900,3105,2022-03-10 09:00:00
1014.0,1026.0,994.0,995.0,1103300,3105,2022-03-11 09:00:00
1021.0,1021.0,993.0,998.0,1619700,3105,2022-03-14 09:00:00
1004.0,1008.0,985.0,987.0,1342200,3105,2022-03-15 09:00:00
1001.0,1006.0,987.0,992.0,894300,3105,2022-03-16 09:00:00
1001.0,1015.0,994.0,1010.0,772400,3105,2022-03-17 09:00:00
1010.0,1021.0,1007.0,1019.0,754700,3105,2022-03-18 09:00:00
1025.0,1039.0,1024.0,1037.0,713800,3105,2022-03-22 09:00:00
1044.0,1057.0,1037.0,1054.0,1102700,3105,2022-03-23 09:00:00
1069.0,1125.0,1059.0,1122.0,2153900,3105,2022-03-24 09:00:00
1131.0,1137.0,1106.0,1114.0,1857900,3105,2022-03-25 09:00:00
1123.0,1127.0,1097.0,1109.0,604100,3105,2022-03-28 09:00:00
1105.0,1113.0,1081.0,1088.0,988300,3105,2022-03-29 09:00:00
1097.0,1108.0,1075.0,1090.0,1033200,3105,2022-03-30 09:00:00
1083.0,1089.0,1063.0,1063.0,928400,3105,2022-03-31 09:00:00
1055.0,1070.0,1049.0,1067.0,905600,3105,2022-04-01 09:00:00
1050.0,1062.0,1037.0,1046.0,680300,3105,2022-04-04 09:00:00
1047.0,1058.0,1029.0,1037.0,873700,3105,2022-04-05 09:00:00
1032.0,1041.0,1015.0,1018.0,999400,3105,2022-04-06 09:00:00
1000.0,1012.0,996.0,1003.0,884000,3105,2022-04-07 09:00:00
1005.0,1019.0,994.0,1006.0,1101500,3105,2022-04-08 09:00:00
1000.0,1017.0,995.0,1004.0,678800,3105,2022-04-11 09:00:00
1005.0,1016.0,990.0,992.0,605800,3105,2022-04-12 09:00:00
996.0,1011.0,992.0,1009.0,508500,3105,2022-04-13 09:00:00
1014.0,1028.0,1012.0,1025.0,365500,3105,2022-04-14 09:00:00
1017.0,1030.0,1013.0,1016.0,402200,3105,2022-04-15 09:00:00
1004.0,1012.0,996.0,1011.0,341900,3105,2022-04-18 09:00:00
1012.0,1022.0,1008.0,1020.0,375100,3105,2022-04-19 09:00:00
1021.0,1029.0,994.0,995.0,2355800,3105,2022-04-20 09:00:00
998.0,1011.0,988.0,995.0,2181700,3105,2022-04-21 09:00:00
990.0,1000.0,969.0,976.0,1970000,3105,2022-04-22 09:00:00
957.0,963.0,936.0,954.0,1804800,3105,2022-04-25 09:00:00
961.0,965.0,948.0,950.0,981800,3105,2022-04-26 09:00:00
936.0,958.0,934.0,942.0,2177400,3105,2022-04-27 09:00:00
947.0,975.0,944.0,975.0,725900,3105,2022-04-28 09:00:00
974.0,979.0,962.0,968.0,499800,3105,2022-05-02 09:00:00
979.0,988.0,974.0,985.0,774100,3105,2022-05-06 09:00:00
981.0,983.0,954.0,954.0,807400,3105,2022-05-09 09:00:00
949.0,965.0,948.0,962.0,721100,3105,2022-05-10 09:00:00
950.0,950.0,940.0,943.0,745500,3105,2022-05-11 09:00:00
943.0,1007.0,943.0,987.0,1840000,3105,2022-05-12 09:00:00
992.0,1003.0,979.0,985.0,1098600,3105,2022-05-13 09:00:00
1000.0,1000.0,981.0,989.0,731500,3105,2022-05-16 09:00:00
984.0,997.0,983.0,989.0,413600,3105,2022-05-17 09:00:00
990.0,1003.0,985.0,1002.0,500300,3105,2022-05-18 09:00:00
977.0,1003.0,977.0,1003.0,574500,3105,2022-05-19 09:00:00
998.0,1007.0,996.0,1001.0,546400,3105,2022-05-20 09:00:00
1009.0,1014.0,1004.0,1011.0,536900,3105,2022-05-23 09:00:00
1009.0,1013.0,1004.0,1008.0,500000,3105,2022-05-24 09:00:00
1006.0,1009.0,996.0,999.0,506200,3105,2022-05-25 09:00:00
999.0,1014.0,998.0,1004.0,405700,3105,2022-05-26 09:00:00
1012.0,1024.0,1010.0,1022.0,631100,3105,2022-05-27 15:15:01
4040.0,4220.0,3910.0,4020.0,227200,3856,2021-11-29 09:00:00
4075.0,4135.0,3865.0,3870.0,145400,3856,2021-11-30 09:00:00
3855.0,3975.0,3735.0,3890.0,152900,3856,2021-12-01 09:00:00
3860.0,3900.0,3670.0,3685.0,125200,3856,2021-12-02 09:00:00
3705.0,3795.0,3625.0,3775.0,77400,3856,2021-12-03 09:00:00
3775.0,3775.0,3570.0,3585.0,70000,3856,2021-12-06 09:00:00
3585.0,3850.0,3555.0,3830.0,85700,3856,2021-12-07 09:00:00
3915.0,4125.0,3845.0,4025.0,81600,3856,2021-12-08 09:00:00
3985.0,4070.0,3845.0,3930.0,70900,3856,2021-12-09 09:00:00
3860.0,3860.0,3650.0,3660.0,94900,3856,2021-12-10 09:00:00
3655.0,3780.0,3600.0,3665.0,43300,3856,2021-12-13 09:00:00
3660.0,3660.0,3415.0,3415.0,86500,3856,2021-12-14 09:00:00
3390.0,3520.0,3285.0,3455.0,64700,3856,2021-12-15 09:00:00
3520.0,3570.0,3425.0,3425.0,33500,3856,2021-12-16 09:00:00
3355.0,3390.0,3170.0,3245.0,108900,3856,2021-12-17 09:00:00
3235.0,3255.0,3105.0,3105.0,97500,3856,2021-12-20 09:00:00
3085.0,3250.0,3080.0,3175.0,104500,3856,2021-12-21 09:00:00
3225.0,3660.0,3225.0,3550.0,126300,3856,2021-12-22 09:00:00
3565.0,3595.0,3375.0,3440.0,78200,3856,2021-12-23 09:00:00
3505.0,3565.0,3400.0,3430.0,43400,3856,2021-12-24 09:00:00
3360.0,3360.0,3250.0,3270.0,49400,3856,2021-12-27 09:00:00
3300.0,3400.0,3205.0,3260.0,73700,3856,2021-12-28 09:00:00
3300.0,3535.0,3300.0,3480.0,57700,3856,2021-12-29 09:00:00
3430.0,3490.0,3345.0,3430.0,90900,3856,2021-12-30 09:00:00
3440.0,3440.0,3015.0,3015.0,186600,3856,2022-01-04 09:00:00
3000.0,3000.0,2765.0,2767.0,129100,3856,2022-01-05 09:00:00
2715.0,2739.0,2627.0,2640.0,94900,3856,2022-01-06 09:00:00
2645.0,2660.0,2559.0,2595.0,67000,3856,2022-01-07 09:00:00
2577.0,2598.0,2484.0,2503.0,57900,3856,2022-01-11 09:00:00
2522.0,2644.0,2522.0,2559.0,48700,3856,2022-01-12 09:00:00
2560.0,2561.0,2402.0,2402.0,57400,3856,2022-01-13 09:00:00
2362.0,2362.0,2259.0,2271.0,143400,3856,2022-01-14 09:00:00
2230.0,2291.0,2164.0,2179.0,116300,3856,2022-01-17 09:00:00
2190.0,2332.0,2130.0,2227.0,125000,3856,2022-01-18 09:00:00
2199.0,2228.0,2026.0,2050.0,81100,3856,2022-01-19 09:00:00
2025.0,2142.0,2019.0,2099.0,113900,3856,2022-01-20 09:00:00
2080.0,2083.0,1973.0,2071.0,90100,3856,2022-01-21 09:00:00
2039.0,2039.0,1922.0,2003.0,62500,3856,2022-01-24 09:00:00
2019.0,2039.0,1852.0,1888.0,89400,3856,2022-01-25 09:00:00
1888.0,1953.0,1864.0,1924.0,64500,3856,2022-01-26 09:00:00
1924.0,1924.0,1729.0,1729.0,106400,3856,2022-01-27 09:00:00
1766.0,1820.0,1694.0,1789.0,113900,3856,2022-01-28 09:00:00
1799.0,1880.0,1763.0,1858.0,68800,3856,2022-01-31 09:00:00
2000.0,2199.0,1907.0,1937.0,310600,3856,2022-02-01 09:00:00
2000.0,2139.0,1998.0,2122.0,165300,3856,2022-02-02 09:00:00
2100.0,2117.0,1929.0,1932.0,155900,3856,2022-02-03 09:00:00
1926.0,2070.0,1906.0,2045.0,92000,3856,2022-02-04 09:00:00
2040.0,2079.0,1908.0,1927.0,69700,3856,2022-02-07 09:00:00
1909.0,1955.0,1847.0,1882.0,54100,3856,2022-02-08 09:00:00
1908.0,2010.0,1880.0,1991.0,82900,3856,2022-02-09 09:00:00
2004.0,2051.0,1952.0,2042.0,67800,3856,2022-02-10 09:00:00
1960.0,1960.0,1870.0,1910.0,128800,3856,2022-02-14 09:00:00
1870.0,1915.0,1765.0,1778.0,69200,3856,2022-02-15 09:00:00
1826.0,1857.0,1773.0,1800.0,38100,3856,2022-02-16 09:00:00
1792.0,1804.0,1710.0,1736.0,77800,3856,2022-02-17 09:00:00
1696.0,1746.0,1650.0,1726.0,69000,3856,2022-02-18 09:00:00
1657.0,1694.0,1618.0,1650.0,55800,3856,2022-02-21 09:00:00
1618.0,1693.0,1604.0,1634.0,81800,3856,2022-02-22 09:00:00
1607.0,1651.0,1561.0,1566.0,83700,3856,2022-02-24 09:00:00
1606.0,1720.0,1588.0,1676.0,133500,3856,2022-02-25 09:00:00
1680.0,1739.0,1640.0,1726.0,116000,3856,2022-02-28 09:00:00
1762.0,2005.0,1750.0,1996.0,209200,3856,2022-03-01 09:00:00
1970.0,2158.0,1925.0,2129.0,380900,3856,2022-03-02 09:00:00
2329.0,2366.0,2000.0,2030.0,459000,3856,2022-03-03 09:00:00
1980.0,2005.0,1750.0,1850.0,337700,3856,2022-03-04 09:00:00
1770.0,1849.0,1750.0,1789.0,130900,3856,2022-03-07 09:00:00
1759.0,1895.0,1716.0,1750.0,208500,3856,2022-03-08 09:00:00
1830.0,1987.0,1790.0,1952.0,444300,3856,2022-03-09 09:00:00
1990.0,2100.0,1892.0,1994.0,410800,3856,2022-03-10 09:00:00
1989.0,2186.0,1925.0,2105.0,473800,3856,2022-03-11 09:00:00
2155.0,2320.0,2150.0,2317.0,471300,3856,2022-03-14 09:00:00
2359.0,2743.0,2350.0,2650.0,944600,3856,2022-03-15 09:00:00
2730.0,3030.0,2701.0,3030.0,1037500,3856,2022-03-16 09:00:00
3240.0,3730.0,3080.0,3705.0,1201400,3856,2022-03-17 09:00:00
3520.0,4090.0,3115.0,3275.0,1128800,3856,2022-03-18 09:00:00
3205.0,3550.0,3030.0,3135.0,420800,3856,2022-03-22 09:00:00
3255.0,3270.0,3080.0,3240.0,260800,3856,2022-03-23 09:00:00
3170.0,3220.0,2997.0,3045.0,215000,3856,2022-03-24 09:00:00
3130.0,3235.0,3000.0,3065.0,180200,3856,2022-03-25 09:00:00
3100.0,3100.0,2819.0,2836.0,188900,3856,2022-03-28 09:00:00
2807.0,2972.0,2756.0,2824.0,185100,3856,2022-03-29 09:00:00
2874.0,3080.0,2814.0,2941.0,282600,3856,2022-03-30 09:00:00
2927.0,3410.0,2913.0,3370.0,536800,3856,2022-03-31 09:00:00
3300.0,3340.0,3100.0,3180.0,259800,3856,2022-04-01 09:00:00
3110.0,3270.0,3040.0,3170.0,110900,3856,2022-04-04 09:00:00
3295.0,3455.0,3230.0,3350.0,265500,3856,2022-04-05 09:00:00
3280.0,3395.0,3155.0,3155.0,175200,3856,2022-04-06 09:00:00
3015.0,3155.0,2950.0,2951.0,150400,3856,2022-04-07 09:00:00
3170.0,3170.0,2970.0,3000.0,86500,3856,2022-04-08 09:00:00
3050.0,3150.0,2850.0,2927.0,142800,3856,2022-04-11 09:00:00
2877.0,2930.0,2695.0,2695.0,135500,3856,2022-04-12 09:00:00
2721.0,2850.0,2721.0,2794.0,79500,3856,2022-04-13 09:00:00
2758.0,2812.0,2620.0,2716.0,147800,3856,2022-04-14 09:00:00
2700.0,2736.0,2581.0,2605.0,82300,3856,2022-04-15 09:00:00
2604.0,2630.0,2500.0,2527.0,58200,3856,2022-04-18 09:00:00
2503.0,2605.0,2476.0,2567.0,56400,3856,2022-04-19 09:00:00
2600.0,2600.0,2395.0,2420.0,141900,3856,2022-04-20 09:00:00
2448.0,2476.0,2380.0,2405.0,60500,3856,2022-04-21 09:00:00
2341.0,2406.0,2263.0,2312.0,111400,3856,2022-04-22 09:00:00
2212.0,2308.0,2197.0,2207.0,91000,3856,2022-04-25 09:00:00
2213.0,2247.0,2168.0,2185.0,46200,3856,2022-04-26 09:00:00
2085.0,2119.0,2046.0,2103.0,88000,3856,2022-04-27 09:00:00
2077.0,2189.0,2077.0,2101.0,65800,3856,2022-04-28 09:00:00
2070.0,2135.0,2053.0,2080.0,55100,3856,2022-05-02 09:00:00
2174.0,2393.0,2106.0,2291.0,184500,3856,2022-05-06 09:00:00
2246.0,2519.0,2240.0,2330.0,186000,3856,2022-05-09 09:00:00
2280.0,2325.0,2098.0,2159.0,100900,3856,2022-05-10 09:00:00
2159.0,2372.0,2152.0,2311.0,96100,3856,2022-05-11 09:00:00
2349.0,2428.0,2174.0,2189.0,145700,3856,2022-05-12 09:00:00
2222.0,2330.0,2212.0,2212.0,61100,3856,2022-05-13 09:00:00
2257.0,2299.0,2203.0,2236.0,90000,3856,2022-05-16 09:00:00
2386.0,2736.0,2356.0,2670.0,446100,3856,2022-05-17 09:00:00
